run,figure,step,agent_name,agent_version,model,pricing_profile,created_at,response_id,dry_run,input_tokens,cache_write_tokens,cached_tokens,uncached_input_tokens,output_tokens,reasoning_tokens,total_tokens,cache_hit_pct,estimated_uncached_input_cost_usd,estimated_cache_write_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,source_path
combined_02,fig10,agent01_read_chart,agent01-structure,5,gpt-5.6-sol,openai_standard_short_context_2026-09-24,2026-09-24T20:57:50.440660+00:00,resp_0312b52d32d1009f006ab58ebcde108197826e0574b71d23ea,False,5651,5648,0,3,3464,1845,9115,0.0,0.00001200,0.02824000,0.00000000,0.06928000,0.09753200,combined_02/fig10/agent01_read_chart.provenance.json
combined_02,fig3a,agent02_check_extraction_round1,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:34:28.944390+00:00,resp_0f8cf372dc982a69006ab58949b74881938102cf42a4a9b182,False,10564,10561,0,3,3039,1478,13603,0.0,0.00000060,0.00264025,0.00000000,0.00364680,0.00628765,combined_02/fig3a/agent02_check_extraction_round1.provenance.json
combined_02,fig3a,agent02_check_extraction_round2,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:34:49.391559+00:00,resp_0209acf752a34f91006ab58964a1548190a99a1257b1170c40,False,13221,11263,1955,3,2070,1034,15291,14.79,0.00000060,0.00281575,0.00003910,0.00248400,0.00533945,combined_02/fig3a/agent02_check_extraction_round2.provenance.json
combined_02,fig3a,agent02_check_extraction_round3,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:35:16.785744+00:00,resp_0a013e962e2f8c5e006ab5897c02c08190ac7052768d4f601f,False,17833,15875,1955,3,2787,931,20620,10.96,0.00000060,0.00396875,0.00003910,0.00334440,0.00735285,combined_02/fig3a/agent02_check_extraction_round3.provenance.json
combined_02,fig2a,agent02_check_extraction_round1,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:39:19.121729+00:00,resp_0f6662498bd118e6006ab58a6acc3c8197a941d950d45888c6,False,28826,26868,1955,3,4306,442,33132,6.78,0.00000060,0.00671700,0.00003910,0.00516720,0.01192390,combined_02/fig2a/agent02_check_extraction_round1.provenance.json
combined_02,fig2a,agent02_check_extraction_round2,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:44:44.783771+00:00,resp_01c09cbd90bb1ae8006ab58babf2788193ad7ce83452e1a74f,False,54055,52097,1955,3,5355,393,59410,3.62,0.00000060,0.01302425,0.00003910,0.00642600,0.01948995,combined_02/fig2a/agent02_check_extraction_round2.provenance.json
combined_02,fig2a,agent02_check_extraction_round3,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:49:52.280893+00:00,resp_028e0f62332f25db006ab58ce0e72481948e819f9564091781,False,54001,52043,1955,3,5025,406,59026,3.62,0.00000060,0.01301075,0.00003910,0.00603000,0.01908045,combined_02/fig2a/agent02_check_extraction_round3.provenance.json
combined_02,fig2b,agent02_check_extraction_round1,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:53:16.802480+00:00,resp_0aa366a71099fa20006ab58db285388190849ab2aed2c0a097,False,11162,9204,1955,3,2383,1400,13545,17.51,0.00000060,0.00230100,0.00003910,0.00285960,0.00520030,combined_02/fig2b/agent02_check_extraction_round1.provenance.json
combined_02,fig2b,agent02_check_extraction_round2,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:54:04.986170+00:00,resp_0b707a350731969a006ab58ddec4648196a33caa0c45e89464,False,18081,16123,1955,3,3710,1135,21791,10.81,0.00000060,0.00403075,0.00003910,0.00445200,0.00852245,combined_02/fig2b/agent02_check_extraction_round2.provenance.json
combined_02,fig2b,agent02_check_extraction_round3,agent02-calibration,4,gpt-5.6-luna,openai_standard_short_context_2026-09-24,2026-09-24T20:55:06.962036+00:00,resp_0df52524aa86fd45006ab58e26128881959f2c91aeca50ac70,False,22209,20251,1955,3,2831,543,25040,8.8,0.00000060,0.00506275,0.00003910,0.00339720,0.00849965,combined_02/fig2b/agent02_check_extraction_round3.provenance.json
